Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Montrezl Harrell  ,    HOU  ,22,    6-8  ,240,    Louisville  ,    USA  ,2015,2,32,2,1.5,1,0,-16.3,0,22.2,16.7,38.7,0,
Myles Turner  ,    IND  ,20,    6-11  ,243,    Texas  ,    USA  ,2015,1,11,7,10.3,6.4,0.4,4.3,8.8,14,20.7,48,2.8,
Nazr Mohammed  ,    OKC  ,38,    6-10  ,250,    Kentucky  ,    USA  ,1998,1,29,5,0.4,0.6,0,15.8,9.1,20,13.6,50,0,
Nick Collison  ,    OKC  ,35,    6-10  ,255,    Kansas  ,    USA  ,2003,1,12,9,1,1.2,0.6,5.2,4.1,10.5,4.6,65.4,9.4,
Nicolas Batum  ,    CHA  ,27,    6-8  ,200,    None  ,    France  ,2008,1,25,5,11.4,3.6,2,-31.4,1.3,12.5,19.9,53,13.9,
Noah Vonleh  ,    POR  ,20,    6-9  ,240,    Indiana  ,    USA  ,2014,1,9,6,0,0.7,0.3,-19.7,10,30,10.7,0,25,
Norman Powell  ,    TOR  ,23,    6-4  ,215,    UCLA  ,    USA  ,2015,2,46,18,3.8,1.5,0.3,-4.6,1.7,12.4,16.9,46.2,5.8,
PJ Hairston  ,    MEM  ,23,    6-6  ,230,    North Carolina  ,    USA  ,2014,1,26,2,2.5,0,0,-19.6,0,0,17.8,36.3,0,
Pablo Prigioni  ,    LAC  ,39,    6-3  ,185,    None  ,    Argentina  ,      ,      ,      ,5,0,0.6,1.4,-6.8,6.5,3.3,12.1,0,38.9,
Pat Connaughton  ,    POR  ,23,    6-5  ,206,    Notre Dame  ,    USA  ,2015,2,41,6,1.3,0.2,0,-17.6,0,16.7,27.8,80,0,
Patrick Beverley  ,    HOU  ,27,    6-1  ,185,    Arkansas  ,    USA  ,2009,2,42,5,5.8,4.4,2.2,-13.1,2.5,13.3,13.9,36.6,13.9,
